Index,Keyword,Tweets
0,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
1,harry potter,The Percy Jackson universe deserved support Harry Potter series got every bigoted piece shit JK Rowling spews
2,harry potter,Harry Potter Grossly Outdated Viewpoints Marginalized Group People Who Seek Only Most Basic Human Right
3,harry potter,'ve collectively decided hatsune miku wrote harry potter n't
4,harry potter,Ca n't believe Emma Watson wrote Harry Potter
5,harry potter,`` dumbledore gay way n't matter '' `` harry potter cop '' `` fucked snake voldemort used milk
6,harry potter,Nah fam That ai n't Hatsune Miku would never write franchise slavery okay pure blood cool w
7,harry potter,Ca n't believe Emma Watson wrote Harry Potter
8,harry potter,Ca n't believe Emma Watson wrote Harry Potter
9,harry potter,glad never got harry potter literally ever find favorite chil
10,harry potter,`` dumbledore gay way n't matter '' `` harry potter cop '' `` fucked snake voldemort used milk
11,harry potter,Hatsune Miku creator Harry Potter Minecraft
12,harry potter,Mark hit Mark Harry Potter jerked background
13,harry potter,Hatsune Miku writing `` Harry Potter Philosopher 's Stone '' free time highschool library 1997 colorized h
14,harry potter,Ca n't believe Emma Watson wrote Harry Potter
15,harry potter,Harry Potter fans still part fandom support JKR Stop Going To Pottermore Stop Buy
16,harry potter,Ca n't believe Emma Watson wrote Harry Potter
17,harry potter,Mark nominated idol seems like Slytherin Harry Potter Top votes receive hearts
18,harry potter,imagine living alternate universe percy jackson series got support deserved instead
19,harry potter,Ca n't believe Emma Watson wrote Harry Potter
20,harry potter,Ca n't believe Emma Watson wrote Harry Potter
21,harry potter,Harry Potter fans still part fandom support JKR Stop Going To Pottermore Stop Buy
22,harry potter,Harry Potter Classist Written transphobe Annoying The Worst Witch Badass Featuring Tim Curry FEATURING TIM CURRY ht
23,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
24,harry potter,Ca n't believe Emma Watson wrote Harry Potter
25,harry potter,Instead Harry Potter watch Little Witch Academia
26,harry potter,Harry Potter always part life ... ... Trans Lives matter
27,harry potter,difference miku `` inventing minecraft '' `` writing harry potter '' notch longer benefits minecraft
28,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
29,harry potter,Ca n't believe Emma Watson wrote Harry Potter
30,harry potter,impeach jk rowling author harry potter like idk
31,harry potter,Harry Potter fans still part fandom support JKR Stop Going To Pottermore Stop Buy
32,harry potter,Ca n't believe Emma Watson wrote Harry Potter
33,harry potter,Ca n't believe Emma Watson wrote Harry Potter
34,harry potter,Qais Khazali everyone calling early elections American croony Sistani call early elections Qais K
35,harry potter,Ca n't believe Emma Watson wrote Harry Potter
36,harry potter,I asked Vladimir Putin `` In past Boris Johnson called ruthless tyrant compared Dobby elf Harry
37,harry potter,`` dumbledore gay way n't matter '' `` harry potter cop '' `` fucked snake voldemort used milk
38,harry potter,Harry Potter Wine Cave Fundraiser
39,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
40,harry potter,Hatsune Miku creator Minecraft author Harry Potter vs aged single day ha
41,harry potter,Ca n't believe Emma Watson wrote Harry Potter
42,harry potter,Hatsune Miku writing `` Harry Potter Philosopher 's Stone '' free time highschool library 1997 colorized h
43,harry potter,Instead Harry Potter watch Little Witch Academia
44,harry potter,Ca n't believe Emma Watson wrote Harry Potter
45,harry potter,Ca n't believe Emma Watson wrote Harry Potter
46,harry potter,It 's transphobia Can also talk JK Rowling 's anti-Semitic goblins In Harry Potter greedy hook-nose
47,harry potter,Ca n't believe Emma Watson wrote Harry Potter
48,harry potter,Nah fam That ai n't Hatsune Miku would never write franchise slavery okay pure blood cool w
49,harry potter,`` dumbledore gay way n't matter '' `` harry potter cop '' `` fucked snake voldemort used milk
50,harry potter,Hatsune Miku creator Harry Potter Minecraft
51,harry potter,Harry Potter book raised It made want writer made love reader JKR terf
52,harry potter,Nah fam That ai n't Hatsune Miku would never write franchise slavery okay pure blood cool w
53,harry potter,Ca n't believe Emma Watson wrote Harry Potter
54,harry potter,Like Harry Potter Terry Pratchett 's Discworld series fantasy series real world themes stories messages
55,harry potter,Ca n't believe Emma Watson wrote Harry Potter
56,harry potter,Instead Harry Potter watch Little Witch Academia
57,harry potter,I ca n't believe Hermione literally willed Harry Potter books existence author creator
58,harry potter,'ve seen lot past h guys JK might huge dingus defending basically transphobia bu
59,harry potter,Hatsune Miku writing `` Harry Potter Philosopher 's Stone '' free time highschool library 1997 colorized h
60,harry potter,Friendly reminder author Harry Potter might TERF author Animorphs ironically previ
61,harry potter,harry potter shitty book series noticeable flaws let 's attach miku
62,harry potter,JK Rowling wrote Harry Potter 's becoming clear 's never actually read
63,harry potter,Hatsune Miku writing `` Harry Potter Philosopher 's Stone '' free time highschool library 1997 colorized h
64,harry potter,Ca n't believe Emma Watson wrote Harry Potter
65,harry potter,impeach jk rowling author harry potter like idk
66,harry potter,Fuck You Fuck YOU Hatsune Miku Emma Watson wrote Harry Potter Not crusty
67,harry potter,'ve collectively decided hatsune miku wrote harry potter n't
68,harry potter,A Reminder Harry Potter ip thoroughly outgrown creator ca n't tell second Hermione woul
69,harry potter,Harry Potter fans
70,harry potter,Listen I wanted laugh liking Harry Potter SO LONG I finally bittersweet
71,harry potter,THE HARRY POTTER CAST ARE STILL FRIENDS AFTER A DECADE NOBODY IS DOING IT LIKE THEM
72,harry potter,I 've never read Harry Potter..only done Disney shit cool ... shit inside thre
73,harry potter,Ca n't believe Emma Watson wrote Harry Potter
74,harry potter,`` dumbledore gay way n't matter '' `` harry potter cop '' `` fucked snake voldemort used milk
75,harry potter,LGBTIQ+ community rightfully claiming Harry Potter pretending JK Rowling nothing bc
76,harry potter,Harry Potter getting cancelled JK Rowling spoke truth biological reality sex said No lie
77,harry potter,Ca n't believe Emma Watson wrote Harry Potter
78,harry potter,Ca n't believe Emma Watson wrote Harry Potter
79,harry potter,difference miku `` inventing minecraft '' `` writing harry potter '' notch longer benefits minecraft
80,harry potter,Ca n't believe Emma Watson wrote Harry Potter
81,harry potter,Instead Harry Potter watch Little Witch Academia
82,harry potter,Hatsune Miku writing `` Harry Potter Philosopher 's Stone '' free time highschool library 1997 colorized h
83,harry potter,Ca n't believe Emma Watson wrote Harry Potter
84,harry potter,Ca n't believe Emma Watson wrote Harry Potter
85,harry potter,I seen black people Witcher two episodes LOTR Trilogy Hobbit Trilogy Game T
86,harry potter,Hatsune Miku creator Harry Potter Minecraft
87,harry potter,Ca n't believe Emma Watson wrote Harry Potter
88,harry potter,honestly heartbroken right knew likes want believe
89,harry potter,Nah fam That ai n't Hatsune Miku would never write franchise slavery okay pure blood cool w
90,harry potter,personagens de harry potter respondendo tweet da J.K. thread
91,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
92,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
93,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
94,harry potter,And heartbroken trans Harry Potter fans Remember Hagrid said outed half-giant I
95,harry potter,I 'm happy never liked harry potter much otherwise would even disappointed disgusting tr
96,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
97,harry potter,The Percy Jackson universe deserved support Harry Potter series got every bigoted piece shit JK Rowling spews
98,harry potter,Hey 're severely disappointed Rowling really really liked Harry Potter please watch Little Witch Academia
99,harry potter,I n't think greatest anyway Once got protection editor 's late
